,text,V,A,D
0,This is only going to get worse before it gets better. Stay at home. ,1.1803174603174602,1.3746031746031746,1.211111111111111
1,"Scared, worried and anxious for the future of my family and country. An unprecedented situation calls for unprecedented anxiety. ",1.0374603174603174,1.4504761904761903,1.0812698412698414
2,Pretty annoying that I have to be alone of my birthday whilst some idiots are going about their life like it's normal. ,1.3514285714285714,2.1326984126984123,1.6241269841269843
3,"Feel worried about the situation, anxious about how long lockdown will last and worried seeing all the news and shows about coronavirus.",1.037142857142857,1.1212698412698412,0.974920634920635
4,I am very scared and worried about contracting the virus and becoming unwell ,1.4073015873015875,2.300634920634921,1.7184126984126984
5,Feeling disgusted by those who are going to beaches and parks and sunbathing. Why cant they do this in their own back gardens? It doesn't make sense. I thank the NHS for all their amazing work and hope the community can do everything to support them!,1.9174603174603175,2.8704761904761904,2.25015873015873
6,"I'm really worried about everyone getting coronavirus, it can literally effect anyone and its really scary. Everyone needs to stay indoors and stay safe.",1.7571428571428571,2.108253968253968,1.7631746031746032
7,"Coronavirus has raised anxiety amongst a lot of us, it is important we take care of our health during these times",1.2098412698412697,1.607936507936508,1.2234920634920634
8,Please make the right choices that keep you and others safe.,1.316825396825397,1.6355555555555554,1.3565079365079367
9,Stay at home unless you are a key worker. The people not adhering to the rules are the reason the NHS is overwhelmed ,1.130793650793651,1.773015873015873,1.2469841269841269
10,"Anxious, nervous, afraid for the future. Proud of all the front line workers protecting us. Enjoying spending quality time with my kids,",1.6996825396825397,2.3193650793650797,1.8365079365079366
11,I wish people would stay at home and not put others at risk.,1.0482539682539682,1.6282539682539683,1.1387301587301586
12,This sucks but it is what it is. ,1.620952380952381,1.7695238095238095,1.587936507936508
13,"Although I know others are in a worse situation, I'm upset that my life and exciting plans have been put on hold. I'm worried for a lot of people, especially my family, so i'm doing what I can to help them. I'm also following the rules, hoping this will be over soon. Stay inside.",1.4860317460317463,1.9209523809523807,1.6003174603174604
14,"I want to go out, to see my friends, to have fun. But I also understand that for the good and health of all I must stay in. Everyone must understand this. We will have our chance.",1.363809523809524,2.033333333333333,1.5971428571428574
